Mean Absolute Error (MAE),Root Mean Squared Error (RMSE),Normalized Root Mean Squared Error (NRMSE),Sum of Squared Error (SSE),Absolute Error Mean + Error Std. Deviation (STAT),Error Std. Deviation (RSTD),Mean Error (RMEA),True Positives Count (TP),True Negatives Count (TN),False Positives Count (FP),False Negatives Count (FN),True Positives Rate (TPR),False Positives Rate (FPR),Accuracy (ACC),Specificity (SPC),Positive Predictive Value (PPV),Negative Predictive Value (NPV),False Discovery Rate (FDR),Matthews Correlation Coefficient (MCC),F1-Score (F1S),Balanced Error Rate (BER)
6.88475513007559e-05,0.000369759666759887,4.14445026000287e-05,0.000423838854603386,0.000432199742008489,0.000363352190707733,-6.88475513007559e-05,3100,93000,0,0,1,0,1,1,1,1,0,1,1,0
0.0272533532220173,0.569930727121130,0.0640123157037626,503.472602261071,0.571543452144511,0.570112868713230,0.00143058343128046,1546,46380,4,120,0.927971188475390,8.62366333218351e-05,0.997419354838710,0.999913763366678,0.997419354838710,0.997419354838710,0.00258064516129032,0.960778782144807,0.961442786069652,0.00254873550121643
0.0373181403094727,0.756737944515136,0.0839657280767639,887.611090836939,0.764702748177627,0.756942366287681,-0.00776038188994598,1540,46200,10,300,0.836956521739131,0.000216403375892664,0.993548387096774,0.999783596624107,0.993548387096774,0.993548387096774,0.00645161290322581,0.908814321891265,0.908554572271386,0.00569547780713890

