Mean Absolute Error (MAE),Root Mean Squared Error (RMSE),Normalized Root Mean Squared Error (NRMSE),Sum of Squared Error (SSE),Absolute Error Mean + Error Std. Deviation (STAT),Error Std. Deviation (RSTD),Mean Error (RMEA),True Positives Count (TP),True Negatives Count (TN),False Positives Count (FP),False Negatives Count (FN),True Positives Rate (TPR),False Positives Rate (FPR),Accuracy (ACC),Specificity (SPC),Positive Predictive Value (PPV),Negative Predictive Value (NPV),False Discovery Rate (FDR),Matthews Correlation Coefficient (MCC),F1-Score (F1S),Balanced Error Rate (BER)
1.12356172045858e-05,8.04770753546522e-05,8.91289580421015e-06,2.00773349386789e-05,9.09373719857157e-05,7.97017547811299e-05,-1.12356172045858e-05,3100,93000,0,0,1,0,1,1,1,1,0,1,1,0
0.130277218588003,1.09139712617934,0.121486966142555,1846.27891490042,1.11272328253512,1.09154377110311,-0.0211795114320130,1508,45240,42,1260,0.544797687861272,0.000927520869219558,0.972903225806452,0.999072479130781,0.972903225806452,0.972903225806452,0.0270967741935484,0.717213993715174,0.698471514590088,0.0278226168470197
0.148362594705567,1.22232276494438,0.139885715277674,2315.81305963698,1.22846454627542,1.22270367339378,0.00576087288164560,1511,45330,39,1170,0.563595673256248,0.000859617800700919,0.974838709677419,0.999140382199299,0.974838709677419,0.974838709677419,0.0251612903225806,0.731038798507265,0.714251949893642,0.0252478957627530




